identifier,type,id,construction/disused,latitude,longitude,operator,access,opening_hours,network,addr:street,addr:city,addr:postcode,addr:country,phone,website,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:tesla_destination,socket:tesla_destination:current,socket:tesla_destination:output,socket:tesla_destination:voltage,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:current,socket:tesla_supercharger_ccs:output,socket:tesla_supercharger_ccs:voltage,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage
MTA-00010/11 -> MTA-00010,child_point,child/node/13028182972,no,38.646107225318126,-8.994407654301327,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,160 kW,1000
MTA-00010/11 -> MTA-00011,child_point,child/node/13028182971,no,38.646107225318126,-8.994407654301327,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,0,0,0,0
MTA-00012,unassigned_point,node/11487067611,no,38.653567,-9.0129225,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,16,11 kW,400,0,0,0,0,0,0,0,0
MTA-00016,unassigned_point,node/11575151580,no,38.6500149,-8.9991708,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTA-00017,unassigned_point,node/12294914728,no,38.6494659,-8.9969467,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,120 kW,1000
MTA-00018 - Aldi,unassigned_point,node/10243291874,no,38.6556309,-9.0390186,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTA-00019,unassigned_point,node/10760011357,yes,38.6454933,-8.9784136,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTA-00020,unassigned_point,node/12724424012,yes,38.647774,-8.983875,EDP,yes,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,200,120 kW,1000
MTA-00021,unassigned_point,node/9458380035,no,38.6485613,-8.9962086,Galp Power,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
MTA-00022,unassigned_point,node/13038180798,yes,38.6457102,-8.9784092,EDP,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,2,125,50 kW,500
MTA-00023,unassigned_point,node/13038180797,yes,38.6457561,-8.978401,EDP,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,300,120 kW,1000
MTA-?????,child_point,child/node/13072809071,yes,38.64775174548454,-8.993935198765923,Charging Together,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,600,400 kW,1000
MTA-?????,child_point,child/node/13072809074,yes,38.64775174548454,-8.993935198765923,Charging Together,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,600,400 kW,1000
MTA-?????,child_point,child/node/13286004812,yes,38.64250198632019,-9.000096259535727,Powerdot,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,250,100 kW,1000
MTA-?????,child_point,child/node/13286004813,yes,38.64250198632019,-9.000096259535727,Powerdot,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,2,250,100 kW,1000
MTG-00001,unassigned_point,node/8286136168,no,40.4005524,-7.5406256,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTG-00002/3/4/7 -> MTG-00002,child_point,child/node/8286115414,no,40.38195231360388,-7.546098205723265,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,7.4 kW,230,0,0,0,0,0,0,0,0
MTG-00002/3/4/7 -> MTG-00003,child_point,child/node/13231721661,no,40.38195231360388,-7.546098205723265,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,32,7.4 kW,230,0,0,0,0,0,0,0,0
MTG-00002/3/4/7 -> MTG-00004,child_point,child/node/11386032323,no,40.38195231360388,-7.546098205723265,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
MTG-00002/3/4/7 -> MTG-00007,child_point,child/node/13286133805,no,40.38195231360388,-7.546098205723265,EDP,customers,24/7,Mobi.E,,,,PT,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTG-00005,unassigned_point,node/13237869227,yes,40.4029589,-7.5361859,EDP,yes,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTG-00006,unassigned_point,node/13237885419,yes,40.4029446,-7.5362596,EDP,yes,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00001,unassigned_point,node/8464607494,yes,38.695593,-8.9415902,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTJ-00002,unassigned_point,node/5037277447,yes,38.695634,-8.941615,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTJ-00004,unassigned_point,node/8279700171,no,38.7035981,-8.9683159,Mobiletric,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0,0,0,0,0
MTJ-00006…9/24/25/37 -> MTJ-00006,child_point,child/node/12650039404,no,38.69580820245053,-8.942660881595334,Mota Engil II,yes,24/7,Mobi.E,,Montijo,,PT,+351 800 020 940,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00006…9/24/25/37 -> MTJ-00007,child_point,child/node/12650039403,no,38.69580820245053,-8.942660881595334,Mota Engil II,yes,24/7,Mobi.E,,Montijo,,PT,+351 800 020 940,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00006…9/24/25/37 -> MTJ-00008,child_point,child/node/12650039405,no,38.69580820245053,-8.942660881595334,Mota Engil II,yes,24/7,Mobi.E,,Montijo,,PT,+351 800 020 940,https://www.mobie.pt,1,60,25 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,25 kW,1000
MTJ-00006…9/24/25/37 -> MTJ-00009,child_point,child/node/8283998952,no,38.69580820245053,-8.942660881595334,Mota Engil II,yes,24/7,Mobi.E,,Montijo,,PT,+351 800 020 940,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,25 kW,1000
MTJ-00006…9/24/25/37 -> MTJ-00024,child_point,child/node/12650039406,no,38.69580820245053,-8.942660881595334,Mota Engil II,yes,24/7,Mobi.E,,,,PT,+351 800 020 940,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0,0,0,0,0
MTJ-00006…9/24/25/37 -> MTJ-00025,child_point,child/node/9928062404,no,38.69580820245053,-8.942660881595334,Mota Engil II,yes,24/7,Mobi.E,,,,PT,+351 800 020 940,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,1,16,11 kW,400,0,0,0,0,0,0,0,0
MTJ-00006…9/24/25/37 -> MTJ-00037,child_point,child/node/8207349263,no,38.69580820245053,-8.942660881595334,Mota Engil II,yes,24/7,Mobi.E,,Montijo,,PT,+351 800 020 940,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,87,60 kW,500
MTJ-00010/11 -> MTJ-00010,child_point,child/node/13028190134,no,38.7016032,-8.96044705,Powerdot,yes,24/7,Mobi.E,,Montijo,,PT,+351 800 180 292,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
MTJ-00010/11 -> MTJ-00011,child_point,child/node/8232504885,no,38.7016032,-8.96044705,Powerdot,yes,24/7,Mobi.E,,Montijo,,PT,+351 800 180 292,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
MTJ-00012,unassigned_point,node/8362686151,no,38.68413,-8.952635,Plug,yes,24/7,Mobi.E,,,,PT,+351 211 648 577,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
MTJ-00014 - Twelve Indoor Padel,unassigned_point,node/8679252079,yes,38.6929836,-8.9461836,Bluecharge,yes,Mo-Fr 07:00-20:00; Sa 07:00-13:00; Su 08:00-13:00,Mobi.E,,,,PT,+351 800 450 165,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00015/16 -> MTJ-00015,child_point,child/node/9043907636,no,38.7269210324519,-8.67006205093143,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
MTJ-00015/16 -> MTJ-00016,child_point,child/node/9043954459,no,38.7269210324519,-8.67006205093143,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00017/18 -> MTJ-00017,child_point,child/node/9043907637,no,38.72587865,-8.6704723,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,125,50 kW,500
MTJ-00017/18 -> MTJ-00018,child_point,child/node/9043954460,no,38.72587865,-8.6704723,Galp Geste,yes,24/7,Mobi.E,,,,PT,+351 800 249 249,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00019,unassigned_point,node/9440272701,no,38.6883042,-8.9452921,Prio.E,yes,24/7,Mobi.E,,,,PT,+351 800 100 303,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,125,50 kW,500
MTJ-00021,unassigned_point,node/9338579595,no,38.7123598,-8.9660526,Repsol,yes,24/7,Mobi.E,,,,PT,+351 800 226 624,https://www.mobie.pt/,1,80,30 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,80,30 kW,1000
MTJ-00022,unassigned_point,node/9894976373,no,38.6935439,-8.9491292,Iberdrola,yes,09:00-21:30,Mobi.E,,,,PT,+351 800 607 717,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00023,unassigned_point,node/9920134217,no,38.743257,-8.660987,Repsol,yes,24/7,Mobi.E,,,,,+351 800 226 624,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,63,43 kW,400,1,150,60 kW,1000
MTJ-00027/28 -> MTJ-00027,child_point,child/node/12663488701,no,38.7073794,-8.9624232,Galp Power,yes,24/7,Mobi.E,,,,,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00027/28 -> MTJ-00028,child_point,child/node/10120585319,no,38.7073794,-8.9624232,Galp Power,yes,24/7,Mobi.E,,,,,+351 800 249 249,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00029/30 -> MTJ-00029,child_point,child/node/13254872934,yes,38.70218752318868,-8.945240118451022,Galp Power,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
MTJ-00029/30 -> MTJ-00030,child_point,child/node/13254872933,yes,38.70218752318868,-8.945240118451022,Galp Power,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,120 kW,1000
MTJ-00032,child_point,child/node/10913978957,no,38.70979775,-8.96833275,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,100 kW,500
MTJ-00032,child_point,child/node/12997782957,no,38.70979775,-8.96833275,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,375,100 kW,500
MTJ-00034,unassigned_point,node/11070119293,yes,38.6804029,-8.9664164,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
MTJ-00035,child_point,child/node/11091139844,no,38.68469422451387,-8.625000593810904,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,1,32,22 kW,400,0,0,0,0,1,200,100 kW,500
MTJ-00035,child_point,child/node/12846840497,no,38.68469422451387,-8.625000593810904,Powerdot,yes,24/7,Mobi.E,,,,PT,+351 800 180 292,https://www.mobie.pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,100 kW,500
MTJ-00038,unassigned_point,node/11278275604,no,38.7048028,-8.9576024,Atlante,yes,24/7,Mobi.E,,,,,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,60 kW,500
MTJ-00039 - Pingo Doce,unassigned_point,node/10040504093,no,38.7119426,-8.9694264,Atlante,yes,24/7,Mobi.E,,,,PT,+351 800 296 929;+351 234 246 050,https://www.mobie.pt/,1,120,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,1,32,22 kW,400,1,125,50 kW,500
MTJ-00043;MTJ-00044 -> MTJ-00043,child_point,child/node/11554812780,no,38.70890722084552,-8.975154893452794,EDP,customers,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
MTJ-00043;MTJ-00044 -> MTJ-00044,child_point,child/node/12472657711,no,38.70890722084552,-8.975154893452794,EDP,customers,24/7,Mobi.E,,,,,+351 800 222 222,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,7.4 kW,230,0,0,0,0,0,0,0,0
MTJ-00045,unassigned_point,node/12146693127,no,38.7062863,-8.9748266,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00046,unassigned_point,node/12146693126,no,38.7084235,-8.986962,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00047,unassigned_point,node/12205419875,no,38.707147,-8.9877371,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00048,unassigned_point,node/12366155441,no,38.710206,-8.986552,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00049,unassigned_point,node/12146693125,no,38.7119661,-8.9840201,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00050,unassigned_point,node/12205419874,no,38.7126031,-8.9815345,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00051,unassigned_point,node/13253115367,no,38.7109781,-8.981647,True Kare,yes,24/7,Mobi.E,,,,,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00052,unassigned_point,node/12366144940,no,38.7091419,-8.9814444,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00053,unassigned_point,node/12188496422,no,38.707474,-8.981136,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00054,unassigned_point,node/12188496421,no,38.7115195,-8.977109,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00055,unassigned_point,node/12827194270,no,38.704224,-8.924359,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00056,unassigned_point,node/12596295184,no,38.6799733,-8.9644826,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00057,unassigned_point,node/12552344828,no,38.7138923,-8.9543382,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00058,unassigned_point,node/12188496420,no,38.704972,-8.95157,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00059,unassigned_point,node/12146693124,no,38.7159196,-8.9670881,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00060,unassigned_point,node/12479201289,no,38.704225,-8.9459722,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00061,unassigned_point,node/12479210102,no,38.702018,-8.948684,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00062,unassigned_point,node/12802016862,no,38.7029309,-8.9508767,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00063,unassigned_point,node/12175823202,no,38.7059305,-8.9542576,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00064,unassigned_point,node/12188496419,no,38.706542,-8.9494262,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00065/66 -> MTJ-00065,child_point,child/node/12036534414,yes,38.6836070947244,-8.611955075509174,InstaVolt,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,160 kW,1000
MTJ-00065/66 -> MTJ-00066,child_point,child/node/12569472045,yes,38.6836070947244,-8.611955075509174,InstaVolt,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt,1,125,50 kW,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,160 kW,1000
MTJ-00068,unassigned_point,node/12188496418,no,38.707358,-8.98626,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00069,unassigned_point,node/12188496417,no,38.7059426,-8.9803463,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00070,unassigned_point,node/12666631199,no,38.708806,-8.92648,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00071,unassigned_point,node/12188496416,no,38.7007798,-8.9573918,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00072,unassigned_point,node/12285983971,no,38.7015765,-8.958691,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00073,unassigned_point,node/12188496415,no,38.714271,-8.96376,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00074,unassigned_point,node/12666645322,no,38.7140102,-8.9609406,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00075,unassigned_point,node/12205419873,no,38.7126132,-8.9690914,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00076,unassigned_point,node/12366173586,no,38.7116314,-8.9669981,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00077,unassigned_point,node/12188496414,no,38.7039457,-8.9494851,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00078,unassigned_point,node/12055944901,no,38.7089853,-8.952676,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00079,unassigned_point,node/12146693123,no,38.7082081,-8.9536528,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00080,unassigned_point,node/12175823201,no,38.707446,-8.9528136,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00081,unassigned_point,node/12175785000,no,38.7082069,-8.9568012,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00082,unassigned_point,node/12188496413,no,38.710432,-8.9595034,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00083,unassigned_point,node/12802024959,no,38.7066347,-8.9632735,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00084,unassigned_point,node/12396694918,yes,38.7033448,-8.9627613,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00085,unassigned_point,node/12861452922,no,38.7114894,-8.9746581,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00086,unassigned_point,node/12666645321,no,38.7128445,-8.9750087,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00087,unassigned_point,node/13035152495,no,38.6845721,-8.6110671,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
MTJ-00088,unassigned_point,node/12580190000,no,38.7007342,-8.9462762,True Kare,yes,24/7,Mobi.E,,,,PT,,https://www.mobie.pt/,0,0,0,0,0,0,0,0,0,0,0,0,2,32,22 kW,400,0,0,0,0,0,0,0,0
